chr7	54844353	54880657	chr7	55017654	55022525	NA	NA	hg19	IMR90	Hi-C	0.0006464	0.00207255	24	24141950
chr7	54990983	55026558	chr7	55084493	55089761	NA	EGFR,ENSG00000146648	hg19	IMR90	Hi-C	3.97e-12	1.84377e-09	106	24141950
chr7	55005374	55022525	chr7	54871743	54880657	NA	NA	hg19	IMR90	Hi-C	0.0009594	0.000511803	21	24141950
chr7	55005374	55022525	chr7	55316771	55320608	NA	NA	hg19	IMR90	Hi-C	0.001281	0.0180072	17	24141950
chr7	55013425	55026558	chr7	54886409	54893284	NA	NA	hg19	IMR90	Hi-C	0.002446	0.000885231	21	24141950
chr7	55014702	55022525	chr7	54980701	54983283	NA	NA	hg19	IMR90	Hi-C	0.00175	0.00496797	24	24141950
chr7	55014702	55022525	chr7	55026559	55029278	NA	NA	hg19	IMR90	Hi-C	0.004004	0.00748332	24	24141950
chr7	55014702	55022525	chr7	55132002	55134316	NA	NA	hg19	IMR90	Hi-C	0.00435	0.00325581	18	24141950
chr7	55014702	55026558	chr7	54856397	54869498	NA	NA	hg19	IMR90	Hi-C	0.00214	0.000542184	19	24141950
chr7	55014702	55026558	chr7	55075461	55084492	NA	NA	hg19	IMR90	Hi-C	0.002012	0.000997653	27	24141950
chr7	55014702	55026558	chr7	55193939	55198197	NA	NA	hg19	IMR90	Hi-C	0.000361	0.00303441	27	24141950
chr7	55014702	55029278	chr7	54842922	54856396	NA	NA	hg19	IMR90	Hi-C	9.902e-06	0.000960384	40	24141950
chr7	55014702	55046281	chr7	55063465	55068156	NA	NA	hg19	IMR90	Hi-C	1.091e-15	2.97168e-06	186	24141950
chr7	55017654	55022525	chr7	55052670	55055952	NA	NA	hg19	IMR90	Hi-C	0.001303	3.84252e-05	15	24141950
chr7	55017654	55029278	chr7	55040268	55043280	NA	NA	hg19	IMR90	Hi-C	9.971e-06	8.94579e-06	37	24141950
chr7	55026559	55029278	chr7	55017654	55022525	NA	NA	hg19	IMR90	Hi-C	0.04382	0.038868	12	24141950
chr7	55040268	55046281	chr7	55017654	55022525	NA	NA	hg19	IMR90	Hi-C	0.0007597	0.000350058	20	24141950
chr7	55052670	55055952	chr7	55017654	55022525	NA	NA	hg19	IMR90	Hi-C	0.001302	5.34927e-06	15	24141950
