chr1	168080619	168081961	Rank_30323	21	.	168081264	168081444	0	1	180	645	2.23421	2.16561	0.67972	H3K36me3	E001	ES-I3 Cells
chr1	168080329	168082981	Rank_23155	23	.	168082151	168082299	0	1	148	1822	2.36773	2.33996	0.55735	H3K4me1	E002	ES-WA7 Cells
chr1	168082049	168082694	Rank_14872	29	.	168082340	168082534	0	1	194	291	2.87129	2.93336	0.86782	H2BK5ac	E003	H1 Cells
chr1	168082028	168082351	Rank_43018	25	.	168082035	168082267	0	1	232	7	2.50632	2.51664	0.72584	H3K18ac	E003	H1 Cells
chr1	168083451	168084967	Rank_54580	17	.	168083463	168083553	0	1	90	12	2.16996	1.78789	0.12313	H3K79me1	E003	H1 Cells
chr1	168081796	168082458	Rank_125966	23	.	168082306	168082436	0	1	130	510	2.34820	2.30747	0.77540	H4K8ac	E003	H1 Cells
chr1	168083451	168085527	Rank_197824	19	.	168084183	168084744	0	2	130,130	732,1163	2.11340	1.95262	0.53927	H4K8ac	E003	H1 Cells
chr1	168082155	168082591	Rank_34994	21	.	168082430	168082545	0	1	115	275	2.60849	2.17642	0.21506	H4K91ac	E003	H1 Cells
chr1	168081859	168082649	Rank_25429	34	.	168082049	168082633	0	2	225,281	190,493	2.82141	3.48505	1.77821	H3K27ac	E004	H1 BMP4 Derived Mesendoderm Cultured Cells
chr1	168082097	168082634	Rank_39229	19	.	168082134	168082274	0	1	140	37	2.08143	1.97397	0.43753	H3K9ac	E004	H1 BMP4 Derived Mesendoderm Cultured Cells
chr1	168080499	168082508	Rank_67109	18	.	168082196	168082474	0	1	278	1697	2.07098	1.89842	0.28347	H4K8ac	E004	H1 BMP4 Derived Mesendoderm Cultured Cells
chr1	168081896	168082468	Rank_35879	30	.	168082103	168082243	0	1	140	207	2.63373	3.01781	1.39093	H2BK5ac	E005	H1 BMP4 Derived Trophoblast Cultured Cells
chr1	168081881	168082534	Rank_38625	23	.	168082384	168082528	0	1	144	503	2.29742	2.37145	0.73289	H3K27ac	E005	H1 BMP4 Derived Trophoblast Cultured Cells
chr1	168082015	168082787	Rank_16495	42	.	168082035	168082363	0	1	328	20	3.23559	4.25588	2.44545	H3K4me1	E005	H1 BMP4 Derived Trophoblast Cultured Cells
chr1	168082114	168082458	Rank_13973	37	.	168082215	168082433	0	1	218	101	3.32743	3.79264	1.75823	H4K12ac	E005	H1 BMP4 Derived Trophoblast Cultured Cells
chr1	168081887	168082812	Rank_27936	24	.	168082027	168082754	0	2	212,179	140,688	2.56825	2.41479	0.59275	H2AK5ac	E006	H1 Derived Mesenchymal Stem Cells
chr1	168081573	168085970	Rank_132220	18	.	168082310	168082453	0	1	143	737	2.02201	1.81285	0.38896	H2A.Z	E006	H1 Derived Mesenchymal Stem Cells
