0002	5418	chr1	168082099	168082651	552	424	11.23076	44.86176	42.42310	289	Cell Line	Lung	H1703	Lung cancer
0012	4750	chr1	168082099	168082500	401	82	5.02657	10.47657	8.29697	196	Stem Cell	Embryo	hPGCLCs induced from primed UCLA1 hESCs	Normal
0051	7467	chr1	168082161	168082370	209	30	2.90664	5.04860	3.08320	33	Tissue	Brain	nucleus accumbens	Normal
0097	4246	chr1	168082102	168082500	398	122	4.78705	15.00499	12.27332	312	Cell Line	Kidney	HEK293	Normal
0098	3228	chr1	168082104	168082494	390	105	5.96151	13.51083	10.59599	279	Cell Line	Kidney	HEK293	Normal
0099	2538	chr1	168082083	168082390	307	73	4.72735	10.18277	7.31255	251	Cell Line	Kidney	HEK293	Normal
0100	3379	chr1	168082104	168082415	311	73	4.36459	9.98682	7.33307	180	Cell Line	Kidney	HEK293	Normal
0104	2814	chr1	168082282	168082523	241	94	7.27991	12.16495	9.43694	118	Other	Blood	HAEC	Coronary artery disease
0106	3746	chr1	168082241	168082543	302	160	9.72222	18.83504	16.03607	111	Other	Blood	HAEC	Coronary artery disease
0107	2840	chr1	168082292	168082547	255	86	7.22222	11.37610	8.61584	83	Other	Blood	HAEC	Coronary artery disease
0108	2878	chr1	168082165	168082543	378	165	9.90991	19.65708	16.56755	250	Other	Blood	HAEC	Coronary artery disease
0109	2008	chr1	168082241	168082441	200	78	6.41026	10.75411	7.84734	148	Other	Blood	HAEC	Coronary artery disease
0111	2716	chr1	168082316	168082575	259	106	8.00000	13.72868	10.69503	99	Other	Blood	HAEC	Coronary artery disease
0112	2465	chr1	168082280	168082532	252	65	5.90909	9.24741	6.53363	98	Other	Blood	HAEC	Coronary artery disease
0119	5322	chr1	168082302	168082500	198	70	6.42004	9.31605	7.08325	76	Stem Cell	Adipose	ASCs	Normal
0137	3525	chr1	168082077	168082666	589	351	12.09455	37.67244	35.18422	306	Stem Cell	Brain	Glioblastoma stem cell	Glioblastoma
0138	3133	chr1	168082040	168082640	600	277	9.25006	30.15670	27.76053	393	Stem Cell	Brain	Glioblastoma stem cell	Glioblastoma
0139	2835	chr1	168082059	168082468	409	403	12.04553	42.91112	40.34579	270	Stem Cell	Brain	Glioblastoma stem cell	Glioblastoma
0140	2820	chr1	168082077	168082523	446	408	11.69608	43.41518	40.84442	301	Stem Cell	Brain	Glioblastoma stem cell	Glioblastoma
0141	2322	chr1	168082059	168082476	417	83	5.92382	10.69537	8.39436	319	Stem Cell	Brain	Glioblastoma stem cell	Glioblastoma
