chr1	168080021	168081603	32424	30429	.	11.08	1.903981	3.116869	398	wgEncodeBroad	Hmec	H3k27ac	Std
chr1	168081650	168084438	19026	4615	.	19.59	5.782553	6.104201	491	wgEncodeBroad	Hmec	H3k27ac	Std
chr1	168079387	168086711	12366	17922	.	12.39	5.892326	6.632515	3274	wgEncodeBroad	Hmec	H3k4me1	Std
chr1	168081719	168083066	24845	9337	.	19.17	5.562097	6.015035	411	wgEncodeBroad	Hmec	H3k4me2	Std
chr1	168081739	168083115	19529	23942	.	12.96	1.061051	2.134319	336	wgEncodeBroad	Hmec	H3k9ac	Std
chr1	168081711	168082617	50133	47254	.	4.43	1.048993	1.901603	439	wgEncodeBroad	Hsmmt	H2az	Std
chr1	168081662	168083246	38321	42576	.	3	5.472765	5.951961	863	wgEncodeBroad	Hsmmt	H3k27ac	Std
chr1	168081942	168083022	53324	53790	.	3.63	1.091259	1.819636	632	wgEncodeBroad	Hsmmt	H3k4me1	Std
chr1	168083531	168085176	56007	44769	.	2.38	1.409272	2.199097	653	wgEncodeBroad	Hsmmt	H3k4me1	Std
chr1	168082078	168082953	41308	44144	.	3.87	0.793438	1.793649	314	wgEncodeBroad	Hsmmt	H3k9ac	Std
chr1	168082083	168083060	10861	9882	.	3.92	2.942444	3.770486	208	wgEncodeBroad	Hsmmt	H4k20me1	Std
chr1	168081741	168082982	50150	46654	.	1.99	1.025394	2.089112	436	wgEncodeBroad	Nha	H3k27ac	Std
chr1	168081752	168083069	42670	41801	.	3.44	2.665073	3.625446	486	wgEncodeBroad	Nha	H3k4me1	Std
chr1	168081634	168083072	25128	5580	.	16.15	5.246383	5.719753	527	wgEncodeBroad	Nhek	H3k27ac	Std
chr1	168080083	168083332	33878	51906	.	13.24	2.233405	3.326708	2542	wgEncodeBroad	Nhek	H3k4me1	Std
chr1	168081614	168083061	29674	6872	.	25.17	5.922054	6.202545	577	wgEncodeBroad	Nhek	H3k4me2	Std
chr1	168081769	168082997	23729	17793	.	12.16	2.161215	2.998322	395	wgEncodeBroad	Nhek	H3k9ac	Std
chr1	168081758	168082744	68699	72608	.	8.91	1.869525	2.968003	482	wgEncodeBroad	Osteobl	H3k4me1	Std
chr1	168083578	168094584	44385	19792	.	7.2	2.670733	3.495085	7637	wgEncodeSydh	K562	H3k27me3	Ucd
