chr1	243560265	243574113	chr1	244022677	244051644	NA	NA	hg19	IMR90	Hi-C	5.047e-05	2.00244e-05	19	24141950
chr1	243995707	244051644	chr1	244442000	244460655	AKT3,ENSG00000117020	NA	hg19	IMR90	Hi-C	4.084e-05	3.42063e-05	34	24141950
chr1	244009554	244053718	chr1	244055770	244058143	AKT3,ENSG00000117020	NA	hg19	IMR90	Hi-C	6.532e-06	5.62356e-05	55	24141950
chr1	244009554	244053718	chr1	244238726	244247286	AKT3,ENSG00000117020	NA	hg19	IMR90	Hi-C	0.0002217	0.000887445	42	24141950
chr1	244009554	244059623	chr1	244428745	244435416	AKT3,ENSG00000117020	NA	hg19	IMR90	Hi-C	2.357e-09	1.181046e-20	58	24141950
chr1	244019725	244051644	chr1	243563568	243570213	NA	NA	hg19	IMR90	Hi-C	3.216e-05	4.85358e-09	19	24141950
chr1	244019725	244055769	chr1	243587518	243593463	NA	NA	hg19	IMR90	Hi-C	6.516e-06	0.00267771	30	24141950
chr1	244019725	244055769	chr1	244178421	244180831	NA	NA	hg19	IMR90	Hi-C	8.676e-05	0.0222753	29	24141950
chr1	244021233	244051644	chr1	243578364	243587517	NA	SDCCAG8,ENSG00000054282	hg19	IMR90	Hi-C	0.0006161	0.000524103	16	24141950
chr1	244021233	244058143	chr1	243570214	243574113	NA	NA	hg19	IMR90	Hi-C	0.0003707	3.92616e-05	19	24141950
chr1	244022677	244051644	chr1	244058144	244061384	NA	NA	hg19	IMR90	Hi-C	0.04319	0.0573057	14	24141950
chr1	244022677	244053718	chr1	244019725	244022676	NA	NA	hg19	IMR90	Hi-C	0.01689	0.000186099	27	24141950
chr1	244022677	244053718	chr1	244068601	244083705	NA	NA	hg19	IMR90	Hi-C	0.001565	0.000661986	24	24141950
chr1	244022677	244055769	chr1	243654507	243665772	NA	NA	hg19	IMR90	Hi-C	0.002645	0.001135044	16	24141950
chr1	244022677	244055769	chr1	243669094	243673835	NA	NA	hg19	IMR90	Hi-C	0.001243	0.002214	17	24141950
chr1	244022677	244058143	chr1	244195815	244202271	NA	NA	hg19	IMR90	Hi-C	0.0005794	0.00388926	36	24141950
chr1	244022677	244058143	chr1	244460656	244466631	NA	NA	hg19	IMR90	Hi-C	0.000107	0.00127305	26	24141950
chr1	244055770	244058143	chr1	244022677	244051644	NA	NA	hg19	IMR90	Hi-C	0.03441	0.00130503	11	24141950
chr1	244068601	244083705	chr1	244022677	244051644	NA	NA	hg19	IMR90	Hi-C	0.004023	0.00220662	14	24141950
chr1	244297429	244317550	chr1	244022677	244051644	NA	NA	hg19	IMR90	Hi-C	0.0008102	0.01182522	17	24141950
