chr7	53138885	53139802	Rank_40382	26	.	53139532	53139712	0	1	180	647	2.50165	2.64449	0.92476	H2A.Z	E006	H1 Derived Mesenchymal Stem Cells
chr7	53138704	53139865	Rank_94425	18	.	53139512	53139642	0	1	130	808	1.95982	1.87868	0.44661	H3K9me3	E006	H1 Derived Mesenchymal Stem Cells
chr7	53137703	53138289	Rank_62185	17	.	53137797	53137957	0	1	160	94	2.01141	1.78583	0.11927	H2BK20ac	E008	H9 Cells
chr7	53135601	53139511	Rank_61901	22	.	53138572	53138871	0	1	299	2971	2.11324	2.20640	0.81045	H3K27ac	E013	hESC Derived CD56+ Mesoderm Cultured Cells
chr7	53137540	53140608	Rank_55162	26	.	53138632	53139674	0	2	441,528	1092,1606	2.53565	2.62285	1.26276	H3K4me1	E013	hESC Derived CD56+ Mesoderm Cultured Cells
chr7	53138575	53139363	Rank_19080	24	.	53138713	53138953	0	1	240	138	2.42129	2.40445	0.69472	H3K4me3	E013	hESC Derived CD56+ Mesoderm Cultured Cells
chr7	53138655	53139791	Rank_11581	39	.	53139443	53139734	0	1	291	788	3.07149	3.93287	2.21088	H3K9me3	E017	IMR90 fetal lung fibroblasts Cell Line
chr7	53135624	53139712	Rank_81399	19	.	53137354	53137538	0	1	184	1730	2.02511	1.92702	0.59611	H3K9me3	E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells
chr7	53125618	53141054	Rank_41966	20	.	53127404	53140436	0	7	415,249,202,271,190,239,186	1786,3431,3789,8291,11638,13246,14632	2.13147	2.08974	0.63511	H3K9me3	E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells
chr7	53138740	53140980	Rank_93496	15	.	53140620	53140760	0	1	140	1880	1.84717	1.55695	0.33158	H3K27me3	E027	Breast Myoepithelial Primary Cells
