0001	37930	chr7	55211958	55212433	475	209	7.00406	23.45004	20.95131	216	Cell Line	Lung	H1703	Lung cancer
0002	70582	chr7	55211959	55212398	439	137	5.17677	15.82352	13.76497	201	Cell Line	Lung	H1703	Lung cancer
0003	79105	chr7	55212107	55213077	970	269	10.34980	29.63090	26.97754	70	Stem Cell	Embryo	primed UCLA1 hESCs	Normal
0004	88070	chr7	55211947	55212780	833	249	10.81660	27.50847	24.97331	247	Stem Cell	Embryo	primed UCLA1 hESCs	Normal
0005	82096	chr7	55211959	55212712	753	251	9.77139	27.84837	25.14559	283	Stem Cell	Embryo	primed UCLA2 hESCs	Normal
0006	107444	chr7	55211950	55212941	991	404	13.10192	43.19807	40.48985	292	Stem Cell	Embryo	primed UCLA2 hESCs	Normal
0008	54649	chr7	55212147	55212585	438	63	4.73928	8.59018	6.35175	43	Stem Cell	Embryo	iMeLCs induced from primed UCLA1 hESCs	Normal
0010	57404	chr7	55212137	55212410	273	38	4.14853	6.11013	3.89939	39	Stem Cell	Embryo	iMeLCs induced from primed UCLA2 hESCs	Normal
0012	77233	chr7	55212137	55212877	740	126	6.29316	15.02286	12.68543	139	Stem Cell	Embryo	hPGCLCs induced from primed UCLA1 hESCs	Normal
0013	54970	chr7	55212157	55212412	255	33	3.14142	5.38906	3.38635	190	Stem Cell	Embryo	hPGCLCs induced from primed UCLA2 hESCs	Normal
0014	36003	chr7	55212207	55212862	655	34	3.58759	5.63048	3.48018	60	Stem Cell	Embryo	cKIT/TNAP-sorted hPGCs from human embryonic gonad	Normal
0017	15978	chr7	55212243	55212672	429	43	5.04471	7.02375	4.36048	163	Stem Cell	Embryo	cKIT/TNAP-sorted hPGCs from human embryonic gonad	Normal
0040	61013	chr7	55212015	55212275	260	55	3.40669	7.77400	5.59027	230	Tissue	Brain	nucleus accumbens	Normal
0045	107137	chr7	55212152	55212549	397	57	3.03586	7.87610	5.75106	281	Tissue	Brain	prefrontal cortex	Normal
0046	121523	chr7	55212144	55212517	373	61	3.54648	8.40192	6.18707	211	Tissue	Brain	prefrontal cortex	Normal
